oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
4.47449,0.45768,11.4257,0.54232,0.5925127379,1.27685649,X,0.11112,R5.45,0.25532,R10.9,0.63356,R21.45,0,RAI,0,7h2d2c
6.93253,0.48007,8.96701,0.51993,0.8751918123,1.045246704,X,0.58557,R5.45,0.41074,R10.9,0.0037,R21.45,0,RAI,0,7h3h2h
7.02511,0.48298,8.87519,0.51702,0.8815359166,1.04036653,X,0.33845,R5.45,0.32471,R10.9,0.33684,R21.45,0,RAI,0,7h3d2h
7.06421,0.48366,8.83569,0.51634,0.8851960563,1.037100202,X,0.35093,R5.45,0.40845,R10.9,0.24062,R21.45,0,RAI,0,7d3h2h
6.99385,0.48255,8.90631,0.51745,0.878395431,1.04314696,X,0.33326,R5.45,0.30014,R10.9,0.3666,R21.45,0,RAI,0,7h3h2d
6.69884,0.48021,9.20128,0.51979,0.8454432567,1.072843491,X,0.3213,R5.45,0.03668,R10.9,0.64202,R21.45,0,RAI,0,7h3d2c
5.49197,0.4648,10.4083,0.5352,0.7161072941,1.178640719,X,0.17193,R5.45,0.12227,R10.9,0.7058,R21.45,0,RAI,0,7h3h3d
4.90717,0.46095,10.9931,0.53905,0.6451984808,1.235972439,X,0.17362,R5.45,0.08777,R10.9,0.7386,R21.45,0,RAI,0,7h3d3c
7.05111,0.48442,8.84905,0.51558,0.8821683374,1.040199457,X,0.61448,R5.45,0.38203,R10.9,0.00349,R21.45,0,RAI,0,7h4h2h
7.32043,0.48866,8.57961,0.51134,0.9079163534,1.01688961,X,0.39207,R5.45,0.27555,R10.9,0.33238,R21.45,0,RAI,0,7h4h2d
7.3756,0.48971,8.5246,0.51029,0.9127974706,1.012448606,X,0.41542,R5.45,0.40591,R10.9,0.17867,R21.45,0,RAI,0,7d4h2h
7.35457,0.48916,8.54529,0.51084,0.9112182285,1.013813258,X,0.4044,R5.45,0.38255,R10.9,0.21306,R21.45,0,RAI,0,7h4d2h
7.12817,0.48685,8.77162,0.51315,0.8873581383,1.035980406,X,0.36434,R5.45,0.03732,R10.9,0.59834,R21.45,0,RAI,0,7h4d2c
7.32919,0.49291,8.57103,0.50709,0.9011651659,1.024386936,X,0.66776,R5.45,0.32722,R10.9,0.00502,R21.45,0,RAI,0,7h4h3h
8.11227,0.50239,7.78783,0.49761,0.9786276047,0.9485132671,X,0.74524,R5.45,0.23507,R10.9,0.01969,R21.45,0,RAI,0,7d4h3h
8.11378,0.50189,7.78617,0.49811,0.9797848934,0.9473592073,X,0.73749,R5.45,0.23694,R10.9,0.02557,R21.45,0,RAI,0,7h4h3d
8.1029,0.50186,7.79724,0.49814,0.9785294688,0.9486489336,X,0.73819,R5.45,0.24147,R10.9,0.02034,R21.45,0,RAI,0,7h4d3h
8.24578,0.50124,7.65418,0.49876,0.9970158545,0.9300859858,X,0.62925,R5.45,0.05348,R10.9,0.31727,R21.45,0,RAI,0,7h4d3c
6.15338,0.46709,9.74663,0.53291,0.7984159534,1.108451414,X,0.16334,R5.45,0.25634,R10.9,0.58033,R21.45,0,RAI,0,7h4h4d
5.67515,0.46347,10.2252,0.53653,0.742115932,1.155028163,X,0.09429,R5.45,0.34299,R10.9,0.56272,R21.45,0,RAI,0,7h4d4c
6.97493,0.48522,8.92504,0.51478,0.8711986967,1.050762551,X,0.56907,R5.45,0.42699,R10.9,0.00394,R21.45,0,RAI,0,7h5h2h
7.32177,0.49239,8.57819,0.50761,0.9012036025,1.024192333,X,0.39751,R5.45,0.31947,R10.9,0.28302,R21.45,0,RAI,0,7d5h2h
7.33642,0.49243,8.56361,0.50757,0.9029334472,1.022532148,X,0.39547,R5.45,0.34912,R10.9,0.25542,R21.45,0,RAI,0,7h5d2h
7.26053,0.49136,8.63993,0.50864,0.8955391426,1.029474906,X,0.38095,R5.45,0.19343,R10.9,0.42562,R21.45,0,RAI,0,7h5h2d
7.10068,0.49059,8.79931,0.50941,0.8771973123,1.046880654,X,0.36244,R5.45,0.02076,R10.9,0.61681,R21.45,0,RAI,0,7h5d2c
7.08893,0.48924,8.81155,0.51076,0.8781623278,1.045566082,X,0.59008,R5.45,0.40474,R10.9,0.00519,R21.45,0,RAI,0,7h5h3h
7.6913,0.49904,8.20867,0.50096,0.934072182,0.9930835568,X,0.55564,R5.45,0.09249,R10.9,0.35187,R21.45,0,RAI,0,7d5h3h
7.7132,0.49905,8.18647,0.50095,0.9367131156,0.9904176462,X,0.54565,R5.45,0.13712,R10.9,0.31723,R21.45,0,RAI,0,7h5d3h
7.67565,0.49858,8.22444,0.50142,0.9330316262,0.9940785473,X,0.53736,R5.45,0.0251,R10.9,0.43754,R21.45,0,RAI,0,7h5h3d
7.66584,0.49825,8.23426,0.50175,0.9324563282,0.9946109502,X,0.45766,R5.45,0.00953,R10.9,0.53281,R21.45,0,RAI,0,7h5d3c
7.59008,0.50161,8.31002,0.49839,0.9170567827,1.010529131,X,0.72809,R5.45,0.26704,R10.9,0.00486,R21.45,0,RAI,0,7h5h4h
8.5254,0.51365,7.37475,0.48635,1.005920216,0.9189977462,X,0.96083,R5.45,0.02739,R10.9,0.01178,R21.45,0,RAI,0,7d5h4h
8.47846,0.51215,7.42148,0.48785,1.003311705,0.9219773863,X,0.9284,R5.45,0.06043,R10.9,0.01118,R21.45,0,RAI,0,7h5d4h
8.46495,0.51178,7.43494,0.48822,1.002437034,0.9229495106,X,0.91481,R5.45,0.07314,R10.9,0.01205,R21.45,0,RAI,0,7h5h4d
8.71531,0.51218,7.18464,0.48782,1.03127932,0.8926094124,X,0.85441,R5.45,0.09487,R10.9,0.05072,R21.45,0,RAI,0,7h5d4c
6.48431,0.46935,9.41579,0.53065,0.8373036869,1.075386591,X,0.16127,R5.45,0.44734,R10.9,0.39139,R21.45,0,RAI,0,7h5h5d
6.05961,0.46641,9.84042,0.53359,0.7873953722,1.117691591,X,0.08356,R5.45,0.48846,R10.9,0.42798,R21.45,0,RAI,0,7h5d5c
7.21183,0.49052,8.68802,0.50948,0.8910556432,1.033498179,X,0.66452,R5.45,0.33139,R10.9,0.00408,R21.45,0,RAI,0,7h6h2h
7.67833,0.49627,8.22183,0.50373,0.9377019145,0.9892060241,X,0.56823,R5.45,0.42096,R10.9,0.01081,R21.45,0,RAI,0,7h6h2d
7.56885,0.49486,8.33098,0.50514,0.9269655869,0.9995405046,X,0.53563,R5.45,0.45263,R10.9,0.01174,R21.45,0,RAI,0,7d6h2h
7.58236,0.49509,8.3175,0.50491,0.9281887127,0.9983777778,X,0.54096,R5.45,0.4478,R10.9,0.01124,R21.45,0,RAI,0,7h6d2h
7.46161,0.49318,8.43828,0.50682,0.9169446693,1.00905823,X,0.41838,R5.45,0.1179,R10.9,0.46372,R21.45,0,RAI,0,7h6d2c
